fertilizer production
fertilizer1 6.27
fertilizer1 5.36
fertilizer1 6.39
fertilizer1 4.85
fertilizer1 5.99
fertilizer1 7.14
fertilizer1 5.08
fertilizer1 4.07
fertilizer1 4.35
fertilizer1 4.95
fertilizer2 3.07
fertilizer2 3.29
fertilizer2 4.04
fertilizer2 4.19
fertilizer2 3.41
fertilizer2 3.75
fertilizer2 4.87
fertilizer2 3.94
fertilizer2 6.28
fertilizer2 3.15
fertilizer3 4.04
fertilizer3 3.79
fertilizer3 4.56
fertilizer3 4.55
fertilizer3 4.55
fertilizer3 4.53
fertilizer3 3.53
fertilizer3 3.71
fertilizer3 7
fertilizer3 4.61
